Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Ship to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,LIB,ZRER,3823000557,10,SEALING DEVICES INC.,RFERNANDES,1600103914,01/10/2021,02/10/2021,04/08/2021,202136,70024779,"RL CR 2549/T01 1067X1,5-304M 01",11.000,70024778,"RL CR 2549/T01 1067X1,5 NE",3 344.000,CRM-MEI,CRMRLMEI,14.706,US,11.000
CRM - Transformaçã,LIB,ZRRL,3823000557,10,,,1600105883,06/10/2021,08/10/2021,,0,70024778,"RL CR 2549/T01 1067X1,5 NE",5 168.000,70000890,CL CR 2549 1067X635 NE,34.228,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,27.200,,5 176.000
CNM - Transformaçã,LIB,ZNPL,3823000543,40,,,1600074843,10/09/2021,11/09/2021,,0,70005829,"PL CI 5608/000 915X610X12,5 NE",1 400.000,70005517,BL CI 5608/ORT 915X610X250 NE,72.100,CNM-LAMINADORAS PLACAS,CNMLAMPL,4.308,,1 290.000
CCS,LIB,ZCEJ,3823000537,70,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600097352,14/10/2021,14/10/2021,25/10/2021,202143,71000202,"JT CI 5351/000 18-Z 2,4 00",1 250.000,71001242,"JT CI 5351/000 18-Z 2,4 NE",1 250.000,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.000,US,1 375.000
CCS,LIB,ZCJT,3823000537,70,,,1600097353,14/10/2021,14/10/2021,,0,71001242,"JT CI 5351/000 18-Z 2,4 NE",1 250.000,71000423,"FQ CI 5351/000 18-Z 2,4 NE",625.000,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.588,,1 375.000
CRM - Transformaçã,LIB,ZRSE,3823000537,70,,,1600097356,14/10/2021,14/10/2021,,0,71000914,QD CI 5351/000 18-Z 164 NE,9.000,70000956,BL CI 5351/000 950X650X200 NE,2.035,CRM-SERRA 05,CRMSER05,0.610,,9.000
CRM - Transformaçã,LIB,ZRPL,3823000534,10,,,1600074164,14/10/2021,15/10/2021,,0,70007046,"PL CR 2549/000 915X915X1,5 NE",8 120.000,70000861,BL CR 2549/000 915X915X152 NE,84.611,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,18.757,,7 855.000
CRM - Transformaçã,LIB,ZRPL,3823000534,10,,,1600074165,14/10/2021,15/10/2021,,0,70006319,"PL CR 2549/000 915X457X1,5 NE",16 240.000,70007046,"PL CR 2549/000 915X915X1,5 NE",8 120.000,CRM-GUILHOTINA BORRACHA,CRMGUILH,14.500,,16 240.000
CRM - Transformaçã,LIB,ZRPE,3823000534,10,EVERSEAL GASKETS INC,RFERNANDES,1600074166,21/10/2021,22/10/2021,08/10/2021,202142,70001017,"PL CR 2549/000 915X457X1,5 00",26 680.000,70006319,"PL CR 2549/000 915X457X1,5 NE",26 680.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,8.893,US,0.000
CRM - Transformaçã,LIB,ZRPE,3823000534,10,EVERSEAL GASKETS INC,RFERNANDES,1600107057,15/10/2021,15/10/2021,08/10/2021,202142,70001017,"PL CR 2549/000 915X457X1,5 00",16 240.000,70006319,"PL CR 2549/000 915X457X1,5 NE",16 240.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,5.413,US,16 240.000
